"Plazo","Tasa.Nominal"
1409,7.306989
1410,7.30706
1411,7.307131
1412,7.307203
1413,7.307273
1414,7.307344
1415,7.307414
1416,7.307485
1417,7.307555
1418,7.307625
1419,7.307695
1420,7.307765
1421,7.307835
1422,7.307905
1423,7.307974
1424,7.308044
1425,7.308113
1426,7.308183
1427,7.308251
1428,7.30832
1429,7.308389
1430,7.308458
1431,7.308527
1432,7.308595
1433,7.308663
1434,7.308731
1435,7.308799
1436,7.308867
1437,7.308934
1438,7.309002
1439,7.309069
1440,7.309136
1441,7.309204
1442,7.309271
1443,7.309338
1444,7.309405
1445,7.309471
1446,7.309538
1447,7.309603
1448,7.30967
1449,7.309736
1450,7.309802
1451,7.309868
1452,7.309934
1453,7.309998
1454,7.310064
1455,7.310129
1456,7.310194
1457,7.310259
1458,7.310324
1459,7.310388
1460,7.310453
1461,7.310516
1462,7.310581
1463,7.310645
1464,7.310708
1465,7.310773
1466,7.310836
1467,7.310899
1468,7.310962
1469,7.311025
1470,7.311088
1471,7.31115
1472,7.311213
1473,7.311276
1474,7.311338
1475,7.3114
1476,7.311462
1477,7.311524
1478,7.311585
1479,7.311647
1480,7.311708
1481,7.311769
1482,7.31183
1483,7.311891
1484,7.311951
1485,7.312012
1486,7.312073
1487,7.312133
1488,7.312193
1489,7.312253
1490,7.312313
1491,7.312372
1492,7.312432
1493,7.312491
1494,7.31255
1495,7.312609
1496,7.312668
1497,7.312727
1498,7.312786
1499,7.312844
1500,7.312903
1501,7.312962
1502,7.31302
1503,7.313078
1504,7.313136
1505,7.313193
1506,7.313251
1507,7.313309
1508,7.313366
1509,7.313424
1510,7.31348
1511,7.313538
1512,7.313594
1513,7.313651
1514,7.313708
1515,7.313764
1516,7.313821
1517,7.313877
1518,7.313933
1519,7.313989
1520,7.314046
1521,7.314101
1522,7.314156
1523,7.314213
1524,7.314268
1525,7.314324
1526,7.314379
1527,7.314433
1528,7.314489
1529,7.314544
1530,7.314599
1531,7.314653
1532,7.314707
1533,7.314762
1534,7.314816
