Fecha,Mercado,Instrumento,Precio
11/09/2017,MD,*C-USDDOP-V48,0.020989
11/09/2017,MD,*C-USDDZD-V48,0.009021
11/09/2017,MD,*C-USDEGP-V48,0.056681
11/09/2017,MD,*C-USDESP-V48,0.007189
11/09/2017,MD,*C-USDEUR-V48,1.196051
11/09/2017,MD,*C-USDFIM-V48,0.201162
11/09/2017,MD,*C-USDFJD-V48,2.001222
11/09/2017,MD,*C-USDFRF-V48,0.182336
11/09/2017,MD,*C-USDGBP-V48,1.31735
11/09/2017,MD,*C-USDGRD-V48,0.00351
11/09/2017,MD,*C-USDGTQ-V48,0.137127
11/09/2017,MD,*C-USDGYD-V48,0.004853
11/09/2017,MD,*C-USDHKD-V48,0.127973
11/09/2017,MD,*C-USDHNL-V48,0.042763
11/09/2017,MD,*C-USDHTG-V48,0.015778
11/09/2017,MD,*C-USDHUF-V48,0.003903
11/09/2017,MD,*C-USDIDR-V48,7.60E-05
11/09/2017,MD,*C-USDILS-V48,0.283825
11/09/2017,MD,*C-USDINR-V48,0.015641
11/09/2017,MD,*C-USDIQD-V48,0.000857
11/09/2017,MD,*C-USDISK-V48,0.009389
11/09/2017,MD,*C-USDITL-V48,0.000618
11/09/2017,MD,*C-USDJMD-V48,0.007798
11/09/2017,MD,*C-USDJPY-V48,0.009143
11/09/2017,MD,*C-USDKES-V48,0.009733
11/09/2017,MD,*C-USDKRW-V48,0.000885
11/09/2017,MD,*C-USDKWD-V48,3.318402
11/09/2017,MD,*C-USDKYD-V48,1.212166
11/09/2017,MD,*C-USDLTL-V48,0.350398
11/09/2017,MD,*C-USDLUF-V48,0.02965
11/09/2017,MD,*C-USDLVL-V48,1.967537
11/09/2017,MD,*C-USDMAD-V48,0.107095
11/09/2017,MD,*C-USDMXP-V48,0.056676
11/09/2017,MD,*C-USDMYR-V48,0.238237
11/09/2017,MD,*C-USDNGN-V48,0.003271
11/09/2017,MD,*C-USDNIC-V48,0.033367
11/09/2017,MD,*C-USDNIO-V48,0.03296
11/09/2017,MD,*C-USDNLG-V48,0.542746
11/09/2017,MD,*C-USDNOK-V48,0.127418
11/09/2017,MD,*C-USDNZD-V48,0.7247
11/09/2017,MD,*C-USDPEN-V48,0.309579
11/09/2017,MD,*C-USDPHP-V48,0.019629
11/09/2017,MD,*C-USDPKR-V48,0.009488
11/09/2017,MD,*C-USDPLN-V48,0.281714
11/09/2017,MD,*C-USDPTE-V48,0.005966
11/09/2017,MD,*C-USDPYG-V48,0.000177
11/09/2017,MD,*C-USDQAR-V48,0.269544
11/09/2017,MD,*C-USDRON-V48,0.26019
11/09/2017,MD,*C-USDRUB-V48,0.017495
11/09/2017,MD,*C-USDSAR-V48,0.266653
11/09/2017,MD,*C-USDSEK-V48,0.124869
11/09/2017,MD,*C-USDSGD-V48,0.742804
11/09/2017,MD,*C-USDSVC-V48,0.114587
11/09/2017,MD,*C-USDTHB-V48,0.030193
11/09/2017,MD,*C-USDTND-V48,0.407879
11/09/2017,MD,*C-USDTRY-V48,0.293488
11/09/2017,MD,*C-USDTTD-V48,0.147386
11/09/2017,MD,*C-USDTWD-V48,0.033307
11/09/2017,MD,*C-USDUAH-V48,0.03841
11/09/2017,MD,*C-USDUDI-1D,0.328064
11/09/2017,MD,*C-USDUDI-V24,0.327413
11/09/2017,MD,*C-USDUDI-V48,0.329086
11/09/2017,MD,*C-USDUVR-V48,0.086095
11/09/2017,MD,*C-USDUYU-V48,0.034753
11/09/2017,MD,*C-USDVEB-V48,1.00E-04
11/09/2017,MD,*C-USDVEF-V48,0.100126
11/09/2017,MD,*C-USDVND-V48,4.40E-05
11/09/2017,MD,*C-USDXCD-V48,0.369697
11/09/2017,MD,*C-USDZAR-V48,0.077142
11/09/2017,MD,*C-UVRUSD-V48,11.61509
11/09/2017,MD,*C-UYUUSD-V48,28.775
11/09/2017,MD,*C-VEBUSD-V48,9987.5
11/09/2017,MD,*C-VEFUSD-V48,9.9875
11/09/2017,MD,*C-VNDUSD-V48,22720
11/09/2017,MD,*C-XCDUSD-V48,2.705
11/09/2017,MD,*C-ZAREUR-V48,15.504649
11/09/2017,MD,*C-ZARUSD-V48,12.9632
11/09/2017,MC,00-ABACOGF-A,1.00E-06
11/09/2017,MC,00-ABACOGF-B,1.00E-06
11/09/2017,MC,00-ABACOGF-L,1.00E-06
11/09/2017,MC,00-AEROVIA-A,1.00E-06
11/09/2017,MC,00-AESINB-A,182.126667
11/09/2017,MC,00-AESINB-B,182.126667
11/09/2017,MC,00-AFARR-A,1.00E-06
